q,tdv,cdv
1,0,0.0
1,10,10.0
1,12,12.0
1,18,18.0
1,20,20.0
1,25,25.0
1,28,28.0
1,30,30.0
1,40,40.0
1,42,42.0
1,50,50.0
1,60,60.0
1,70,70.0
1,80,80.0
1,90,90.0
1,100,100.0
2,12,8.0
2,18,12.5
2,20,14.0
2,25,18.0
2,28,20.4
2,30,22.0
2,40,30.0
2,42,31.4
2,50,37.0
2,60,44.0
2,70,51.0
2,80,58.0
2,90,64.0
2,100,71.0
2,110,76.0
2,120,81.0
2,130,86.0
2,135,88.5
2,140,91.0
2,150,94.0
2,160,98.0
2,166,100.0
3,18,8.0
3,20,10.0
3,25,13.5
3,28,15.6
3,30,17.0
3,40,24.0
3,42,25.4
3,50,31.0
3,60,38.0
3,70,44.5
3,80,50.5
3,90,57.0
3,100,63.0
3,110,68.0
3,120,73.0
3,130,78.5
3,135,81.5
3,140,84.0
3,150,88.0
3,160,93.0
3,166,94.8
3,170,96.0
3,180,99.0
3,182,100.0
4,25,8.0
4,28,10.4
4,30,12.0
4,40,19.0
4,42,20.4
4,50,26.0
4,60,33.0
4,70,39.0
4,80,45.0
4,90,51.0
4,100,57.0
4,110,62.0
4,120,68.0
4,130,73.0
4,135,75.5
4,140,78.0
4,150,82.0
4,160,86.0
4,166,88.4
4,170,90.0
4,180,93.0
4,182,93.6
4,190,96.0
4,200,98.0
5,28,8.0
5,30,10.0
5,40,17.0
5,42,18.2
5,50,23.0
5,60,29.0
5,70,35.0
5,80,41.0
5,90,46.0
5,100,52.0
5,110,57.0
5,120,62.0
5,130,67.0
5,135,69.5
5,140,72.0
5,150,76.0
5,160,81.0
5,166,83.4
5,170,85.0
5,180,88.0
5,182,88.6
5,190,91.0
5,200,94.0
6,42,15.0
6,50,20.0
6,60,26.0
6,70,32.0
6,80,38.0
6,90,44.0
6,100,49.0
6,110,54.0
6,120,59.0
6,130,63.0
6,135,65.0
6,140,68.0
6,150,72.0
6,160,76.0
6,166,79.0
6,170,81.0
6,180,84.0
6,182,84.8
6,190,88.0
6,200,90.0
7,42,15.0
7,50,20.0
7,60,26.0
7,70,32.0
7,80,38.0
7,90,44.0
7,100,49.0
7,110,54.0
7,120,59.0
7,130,63.0
7,135,65.0
7,140,67.0
7,150,70.0
7,160,74.0
7,166,75.2
7,170,76.0
7,180,79.0
7,182,79.6
7,190,82.0
7,200,84.0
