Densidad,Baja,Media,Alta
0.1,1.4,5.5,10.9
0.2,1.5,6.7,18.3
0.3,1.6,7.9,22.6
0.4,1.6,9.0,25.7
0.5,1.7,10.2,28.0
0.6,1.8,11.4,30.0
0.7,1.8,12.6,31.6
0.8,1.9,13.8,33.0
0.9,2.0,15.0,34.3
1.0,2.4,16.2,35.5
2.0,4.2,22.4,41.9
3.0,5.6,26.7,46.7
4.0,6.9,29.7,50.1
5.0,8.1,32.0,52.8
6.0,9.2,33.9,55.0
7.0,10.3,35.5,56.8
8.0,11.1,36.9,58.4
9.0,11.8,38.1,59.8
10.0,12.5,39.5,61.6
20.0,20.4,48.8,72.3
30.0,25.0,54.4,78.0
40.0,28.3,58.8,82.0
50.0,30.9,62.4,85.1
60.0,32.9,65.5,87.6
70.0,34.7,68.3,89.8
80.0,36.2,70.8,91.7
90.0,37.6,73.0,93.3
100.0,38.8,75.1,94.8
