Densidad,Baja,Media,Alta
0.1,3.1,6.4,11.8
0.2,3.8,9.3,15.6
0.3,4.6,11.6,18.4
0.4,5.3,13.5,20.6
0.5,6.1,15.3,22.6
0.6,6.9,16.8,24.3
0.7,7.6,18.3,25.9
0.8,8.4,19.7,27.3
0.9,9.1,20.9,28.6
1.0,9.9,22.0,29.9
2.0,16.7,28.2,40.05
3.0,20.7,32.5,45.5
4.0,23.6,35.6,49.3
5.0,25.8,38.0,52.2
6.0,27.6,39.9,54.6
7.0,29.1,41.6,56.7
8.0,30.5,43.0,58.4
9.0,31.6,44.3,60.0
10.0,33.0,45.6,61.3
20.0,40.8,55.4,70.4
30.0,45.9,60.9,75.8
40.0,49.5,64.8,79.5
50.0,52.4,67.8,82.5
60.0,54.7,70.2,84.9
70.0,56.6,72.3,86.9
80.0,58.3,74.1,88.6
90.0,59.8,75.7,90.2
100.0,61.1,77.1,91.6
